date,heure,timestamp,type,nom,velos_dispo,bornes_libres,total,taux_occupation_places,lat,lon
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Jeu de Mail des Abbés",7,1,8,0.875,43.619701,3.883831
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Euromédecine",2,6,8,0.25,43.639119,3.828199
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Marie Caizergues",4,4,8,0.5,43.619871,3.873812
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Sabines",4,4,8,0.5,43.584211,3.860031
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Celleneuve",1,7,8,0.125,43.61467,3.832624
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Jardin de la Lironde",8,0,8,1.0,43.60585,3.911576
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Père Soulas",6,2,8,0.75,43.621983,3.855603
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Place Viala",5,3,8,0.625,43.616812,3.855075
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Hôtel du Département",1,7,8,0.125,43.621682,3.83477
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Tonnelles",3,5,8,0.375,43.615155,3.839466
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Parvis Jules Ferry - Gare Saint-Roch",2,6,8,0.25,43.603889,3.879362
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Pont de Lattes - Gare Saint-Roch",1,11,12,0.08333333333333333,43.606036,3.882393
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Deux Ponts - Gare Saint-Roch",0,8,8,0.0,43.604319,3.880916
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Providence - Ovalie",6,2,8,0.75,43.588239,3.853421
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Pérols Etang de l Or",50,18,68,0.7352941176470589,43.558351,3.963412
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Albert 1er - Cathédrale",2,10,12,0.16666666666666666,43.614005,3.873218
2026-02-19,03:24:19,2026-02-19T03:24:19+01:00,STATION,"Saint-Guilhem - Courreau",3,5,8,0.375,43.608996,3.872752
