date,heure,timestamp,parking,relais_ok
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Antigone",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Comedie",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Corum",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Europa",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Foch",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Gambetta",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Gare",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Triangle",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Pitot",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Circe",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Garcia Lorca",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Mosson",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Sabines",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Sablassou",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Saint Jean Le Sec",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Euromedecine",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Occitanie",1
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Vicarello",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Gaumont EST",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Gaumont OUEST",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Charles de Gaulle",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Polygone",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Arc de Triomphe",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,"Gaumont-Circe",0
2026-02-02,00:24:58,2026-02-02T00:24:58+01:00,RESUME,0.041666666666666664
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Antigone",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Comedie",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Corum",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Europa",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Foch",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Gambetta",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Gare",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Triangle",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Pitot",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Circe",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Garcia Lorca",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Mosson",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Sabines",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Sablassou",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Saint Jean Le Sec",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Euromedecine",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Occitanie",1
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Vicarello",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Gaumont EST",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Gaumont OUEST",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Charles de Gaulle",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Polygone",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Arc de Triomphe",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,"Gaumont-Circe",0
2026-02-02,00:48:38,2026-02-02T00:48:38+01:00,RESUME,0.041666666666666664
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Antigone",0
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Comedie",0
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Corum",0
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Europa",0
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Foch",0
2026-02-02,03:08:30,2026-02-02T03:08:30+01:00,"Gambetta",0
