date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,VILLE,VILLE,0,0,0.3285605996799461,,
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Antigone",157,239,0.34309623430962344,43.60871606,3.88881893
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Comedie",465,666,0.30180180180180183,43.60856092,3.87976196
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Corum",299,480,0.3770833333333333,43.61388821,3.88225773
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Europa",510,591,0.13705583756345177,43.60784971,3.89253074
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Foch",475,500,0.05,43.61074912,3.87657084
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Gambetta",203,452,0.5508849557522124,43.60695138,3.87137436
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Gare",381,656,0.4192073170731707,43.604024,3.87891
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Circe",1148,1200,0.043333333333333335,43.60495377,3.9178495
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Garcia Lorca",389,400,0.0275,43.59098509,3.8907158
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Mosson",326,328,0.006097560975609756,43.61623716,3.81966554
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Sabines",282,285,0.010526315789473684,43.58383263,3.8602246
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Sablassou",316,379,0.1662269129287599,43.63419194,3.92229536
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Saint Jean Le Sec",175,285,0.38596491228070173,43.57082225,3.8379312
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Euromedecine",110,239,0.5397489539748954,43.63895359,3.82772365
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Occitanie",402,615,0.3463414634146341,43.63456232,3.84859796
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Vicarello",49,64,0.234375,43.63286,3.898411
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Gaumont OUEST",5,250,0.98,43.604824,3.914158
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Charles de Gaulle",134,260,0.4846153846153846,43.6285421,3.8977621
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Polygone",1013,1911,0.46991104133961276,43.607697,3.88515
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Arc de Triomphe",183,440,0.5840909090909091,43.61100267,3.8732007
2026-04-28,00:55:44,2026-04-28T00:55:44+02:00,PARKING,"Gaumont-Circe",199,500,0.602,43.60495377,3.9178495
