date,heure,timestamp,type,nom,libres,total,taux_occupation,lat,lon
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,VILLE,VILLE,0,0,0.3527891269907446,,
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Antigone",149,239,0.37656903765690375,43.60871606,3.88881893
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Comedie",403,666,0.3948948948948949,43.60856092,3.87976196
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Corum",307,480,0.36041666666666666,43.61388821,3.88225773
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Europa",466,591,0.21150592216582065,43.60784971,3.89253074
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Foch",416,620,0.32903225806451614,43.61074912,3.87657084
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Gambetta",205,452,0.5464601769911505,43.60695138,3.87137436
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Gare",341,656,0.4801829268292683,43.604024,3.87891
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Triangle",274,434,0.3686635944700461,43.60923384,3.88184418
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Pitot",403,590,0.3169491525423729,43.61224494,3.87019117
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Circe",1157,1200,0.035833333333333335,43.60495377,3.9178495
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Garcia Lorca",386,400,0.035,43.59098509,3.8907158
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Mosson",279,328,0.14939024390243902,43.61623716,3.81966554
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Sabines",159,285,0.4421052631578947,43.58383263,3.8602246
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Sablassou",324,379,0.14511873350923482,43.63419194,3.92229536
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Saint Jean Le Sec",237,285,0.16842105263157894,43.57082225,3.8379312
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Euromedecine",151,239,0.3682008368200837,43.63895359,3.82772365
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Occitanie",438,615,0.28780487804878047,43.63456232,3.84859796
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Vicarello",45,64,0.296875,43.63286,3.898411
2026-01-23,00:20:57,2026-01-23T00:20:57+01:00,PARKING,"Gaumont EST",74,109,0.3211009174311927,43.604526,3.91529
